================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 61306.69 μs
    Duration: 61306.69 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 18581.45           |
  | 1     | 18581.45           | 23328.69           |
  | 2     | 23328.69           | 28075.94           |
  | 3     | 28075.94           | 32823.19           |
  | 4     | 32823.19           | 37570.44           |
  | 5     | 37570.44           | 42317.69           |
  | 6     | 42317.69           | 47064.94           |
  | 7     | 47064.94           | 51812.19           |
  | 8     | 51812.19           | 56559.44           |
  | 9     | 56559.44           | 61306.69           |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | Input | Compute (μs)      | Activation Communication (μs) | Weight Loading (μs) | Total (μs)        |
  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | 0     | 210.32            | 4536.93                       | 13834.20            | 18581.45          |
  | 1     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 2     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 3     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 4     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 5     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 1     | 66    | 5.51                 | 47.28                        |
  | 1     | 67    | 4.59                 | 15.76                        |
  | 1     | 68    | 0.46                 | -1                           |
  | 1     | 69    | 0.46                 | 47.28                        |
  | 1     | 70    | 1.84                 | 44.12                        |
  | 1     | 71    | 5.51                 | 177.56                       |
  | 1     | 72    | 5.51                 | 47.28                        |
  | 1     | 73    | 0.01                 | -1                           |
  | 2     | 0     | 1.83                 | -1                           |
  | 2     | 1     | 4.59                 | 141.84                       |
  | 2     | 2     | 0.46                 | 12.12                        |
  | 2     | 3     | 0.46                 | 2.62                         |
  | 2     | 4     | 1.84                 | 47.28                        |
  | 2     | 5     | 2.75                 | 155.49                       |
  | 2     | 6     | 5.51                 | 47.28                        |
  | 2     | 7     | 4.59                 | 15.76                        |
  | 2     | 8     | 0.46                 | -1                           |
  | 2     | 9     | 0.46                 | 47.28                        |
  | 2     | 10    | 1.84                 | 44.12                        |
  | 2     | 11    | 5.51                 | 320.45                       |
  | 2     | 12    | 5.51                 | 45.17                        |
  | 2     | 13    | 4.59                 | -1                           |
  | 2     | 14    | 0.46                 | -1                           |
  | 2     | 15    | 0.46                 | 47.28                        |
  | 2     | 16    | 1.84                 | 46.49                        |
  | 2     | 17    | 4.59                 | 174.41                       |
  | 2     | 18    | 5.51                 | 47.28                        |
  | 2     | 19    | 4.59                 | 15.76                        |
  | 2     | 20    | 0.46                 | -1                           |
  | 2     | 21    | 0.46                 | 47.28                        |
  | 2     | 22    | 1.84                 | 42.02                        |
  | 2     | 23    | 5.51                 | 177.56                       |
