================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.82 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.18 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 62.78 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 62.80 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+----------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)      |
  | 45         | 18435.60                      | 56.72              |
  | 46         | 18435.60                      | 56.72              |
  | 47         | 18435.60                      | 56.72              |
  | 48         | 18433.72                      | 56.72              |
  | 51         | 18435.60                      | 56.72              |
  | 52         | 18435.60                      | 56.72              |
  | 53         | 18435.60                      | 56.72              |
  | 54         | 18435.60                      | 56.72              |
  | 55         | 18435.60                      | 56.72              |
  | 56         | 36870.38                      | 100.00             |
  | 62         | 18435.60                      | 56.72              |
  | 63         | 18435.60                      | 56.72              |
  | 64         | 18435.60                      | 56.72              |
  | 65         | 18434.78                      | 56.72              |
  | 73         | 18435.60                      | 56.72              |
  | 74         | 18434.78                      | 56.72              |
  +------------+-------------------------------+--------------------+
